ID, ID_STUDENT, ID_CURS, VALOARE, DATA_NOTARE, CREATED_AT, UPDATED_AT
15127, 949, 15, 7, 09-JUL-19, 09-JUL-19, 09-JUL-19
15128, 949, 16, 9, 02-JUL-19, 02-JUL-19, 02-JUL-19
15129, 950, 1, 7, 23-FEB-17, 23-FEB-17, 23-FEB-17
15130, 950, 2, 9, 10-FEB-17, 10-FEB-17, 10-FEB-17
15131, 950, 3, 6, 19-FEB-17, 19-FEB-17, 19-FEB-17
15132, 950, 4, 7, 17-FEB-17, 17-FEB-17, 17-FEB-17
15133, 950, 5, 8, 01-JUL-17, 01-JUL-17, 01-JUL-17
15134, 950, 6, 7, 07-JUL-17, 07-JUL-17, 07-JUL-17
15135, 950, 7, 5, 10-JUL-17, 10-JUL-17, 10-JUL-17
15136, 950, 8, 7, 02-JUL-17, 02-JUL-17, 02-JUL-17
15137, 950, 9, 5, 14-FEB-18, 14-FEB-18, 14-FEB-18
15138, 950, 10, 6, 21-FEB-18, 21-FEB-18, 21-FEB-18
15139, 950, 11, 8, 22-FEB-18, 22-FEB-18, 22-FEB-18
15140, 950, 12, 4, 19-FEB-18, 19-FEB-18, 19-FEB-18
15141, 950, 13, 9, 03-JUL-18, 03-JUL-18, 03-JUL-18
15142, 950, 14, 4, 07-JUL-18, 07-JUL-18, 07-JUL-18
15143, 950, 15, 7, 09-JUL-18, 09-JUL-18, 09-JUL-18
15144, 950, 16, 7, 10-JUL-18, 10-JUL-18, 10-JUL-18
15145, 950, 17, 9, 21-FEB-19, 21-FEB-19, 21-FEB-19
15146, 950, 18, 8, 10-FEB-19, 10-FEB-19, 10-FEB-19
15147, 950, 19, 6, 15-FEB-19, 15-FEB-19, 15-FEB-19
15148, 950, 20, 5, 14-FEB-19, 14-FEB-19, 14-FEB-19
15149, 950, 21, 7, 08-JUL-19, 08-JUL-19, 08-JUL-19
15150, 950, 22, 4, 11-JUL-19, 11-JUL-19, 11-JUL-19
15151, 950, 23, 5, 04-JUL-19, 04-JUL-19, 04-JUL-19
15152, 950, 24, 6, 08-JUL-19, 08-JUL-19, 08-JUL-19
15153, 951, 1, 6, 22-FEB-17, 22-FEB-17, 22-FEB-17
15154, 951, 2, 7, 22-FEB-17, 22-FEB-17, 22-FEB-17
15155, 951, 3, 9, 13-FEB-17, 13-FEB-17, 13-FEB-17
15156, 951, 4, 5, 21-FEB-17, 21-FEB-17, 21-FEB-17
15157, 951, 5, 7, 07-JUL-17, 07-JUL-17, 07-JUL-17
15158, 951, 6, 6, 13-JUL-17, 13-JUL-17, 13-JUL-17
15159, 951, 7, 5, 13-JUL-17, 13-JUL-17, 13-JUL-17
15160, 951, 8, 9, 01-JUL-17, 01-JUL-17, 01-JUL-17
15161, 951, 9, 7, 19-FEB-18, 19-FEB-18, 19-FEB-18
15162, 951, 10, 4, 15-FEB-18, 15-FEB-18, 15-FEB-18
15163, 951, 11, 6, 18-FEB-18, 18-FEB-18, 18-FEB-18
15164, 951, 12, 9, 22-FEB-18, 22-FEB-18, 22-FEB-18
15165, 951, 13, 7, 12-JUL-18, 12-JUL-18, 12-JUL-18
15166, 951, 14, 5, 06-JUL-18, 06-JUL-18, 06-JUL-18
15167, 951, 15, 5, 01-JUL-18, 01-JUL-18, 01-JUL-18
15168, 951, 16, 4, 07-JUL-18, 07-JUL-18, 07-JUL-18
15169, 951, 17, 6, 15-FEB-19, 15-FEB-19, 15-FEB-19
15170, 951, 18, 9, 19-FEB-19, 19-FEB-19, 19-FEB-19
15171, 951, 19, 7, 16-FEB-19, 16-FEB-19, 16-FEB-19
15172, 951, 20, 6, 20-FEB-19, 20-FEB-19, 20-FEB-19
15173, 951, 21, 4, 06-JUL-19, 06-JUL-19, 06-JUL-19
15174, 951, 22, 5, 01-JUL-19, 01-JUL-19, 01-JUL-19
15175, 951, 23, 6, 08-JUL-19, 08-JUL-19, 08-JUL-19
15176, 951, 24, 5, 03-JUL-19, 03-JUL-19, 03-JUL-19
15177, 952, 1, 4, 12-FEB-17, 12-FEB-17, 12-FEB-17
15178, 952, 2, 9, 12-FEB-17, 12-FEB-17, 12-FEB-17
15179, 952, 3, 7, 20-FEB-17, 20-FEB-17, 20-FEB-17
15180, 952, 4, 8, 15-FEB-17, 15-FEB-17, 15-FEB-17
15181, 952, 5, 5, 30-JUN-17, 30-JUN-17, 30-JUN-17
15182, 952, 6, 6, 10-JUL-17, 10-JUL-17, 10-JUL-17
15183, 952, 7, 6, 01-JUL-17, 01-JUL-17, 01-JUL-17
15184, 952, 8, 9, 04-JUL-17, 04-JUL-17, 04-JUL-17
15185, 952, 9, 7, 23-FEB-18, 23-FEB-18, 23-FEB-18
15186, 952, 10, 6, 14-FEB-18, 14-FEB-18, 14-FEB-18
15187, 952, 11, 8, 21-FEB-18, 21-FEB-18, 21-FEB-18
15188, 952, 12, 5, 13-FEB-18, 13-FEB-18, 13-FEB-18
15189, 952, 13, 7, 08-JUL-18, 08-JUL-18, 08-JUL-18
